sym,entry,ret,excess,beta,maxday,n_flags,n_known,DILUTION,ASSET_BLOAT,LOSS,LOTTO
OUST,2026-06-02,-0.1718444505145159,-0.1953424601364936,3.8977434006733,0.2608855235407992,3,4,True,False,True,True
LFUS,2026-05-26,-0.13935173270163492,-0.17509481300209706,1.6908058440911893,0.05433654171754321,0,4,False,False,False,False
TXG,2026-05-26,2.2128349219253747,2.1770918416249128,2.214388986946676,0.09158407941821722,2,4,False,False,True,True
ERAS,2026-05-26,0.3078260836393938,0.27208300333893165,0.6593620867605016,0.16904500767179198,2,4,False,False,True,True
IONQ,2026-05-26,-0.3632505658337791,-0.39899364613424126,3.230617787579941,0.15536144294095489,4,4,True,True,True,True
KN,2026-05-27,-0.042796402340857354,-0.07871897044305287,1.7171308638240772,0.04347818238088319,0,4,False,False,False,False
ATEN,2026-05-27,-0.0737865412105515,-0.10970910931274702,1.0135782469476837,0.029297555273574805,0,4,False,False,False,False
USAR,2026-05-28,-0.40475344559242454,-0.43499256906244355,2.726914117751424,0.1788469588699284,4,4,True,True,True,True
RLAY,2026-05-28,0.3086331678605434,0.2783940443905244,1.9182839925552397,0.07870760455336434,1,4,False,False,True,False
TE,2026-05-28,-0.5887245901315683,-0.6189637136015873,2.8654759288225216,0.29331682028927974,3,4,True,False,True,True
ENPH,2026-05-28,-0.499856139258515,-0.530095262728534,2.1056485546016632,0.17290683655454542,1,4,False,False,False,True
PLUG,2026-05-28,-0.4927184533439133,-0.5229575768139323,2.647486149671222,0.14199396880217208,3,4,True,False,True,True
QBTS,2026-05-28,-0.39979651067090094,-0.43003563414091994,3.904674390251382,0.33367879733856665,4,4,True,True,True,True
CLOV,2026-05-28,0.08612443739202003,0.05588531392200102,1.328299728924816,0.10638296433266436,1,4,False,False,True,False
TER,2026-05-28,-0.0025177399460342142,-0.03275686341605322,2.8220964370678043,0.12124180435862608,1,4,False,False,False,True
ASML,2026-05-28,0.06710999379865701,0.036870870328638006,2.096678184317353,0.0705652363255882,1,4,False,False,False,True
QCOM,2026-05-28,-0.1943425747123818,-0.2245816981824008,1.7151173203750272,0.15115384611588145,1,4,False,False,False,True
BTDR,2026-05-28,-0.2850924405170264,-0.3153315639870454,4.0736766808491565,0.2099359723825689,4,4,True,True,True,True
GH,2026-05-29,0.34065843044256017,0.31297967930869364,0.969440769114255,0.17089314962905866,2,4,False,False,True,True
XMTR,2026-05-29,0.04449572697064208,0.01681697583677555,1.9981017879737832,0.39184393397543804,2,4,False,False,True,True
MT,2026-05-29,0.04723975032685068,0.019560999192984152,2.012938104569144,0.08439329086170688,1,4,False,False,False,True
NUE,2026-05-29,-0.02801871773253073,-0.05569746886639726,1.0609521938675939,0.03573273259453247,1,4,False,False,True,False
RXO,2026-05-29,-0.2290852473740962,-0.2567639985079627,2.3731903257131437,0.17787969530252723,2,4,False,False,True,True
FROG,2026-05-29,0.15752385649558742,0.1298451053617209,1.290717681583715,0.2372852066884179,2,4,False,False,True,True
STLD,2026-05-29,-0.11392801316354906,-0.1416067642974156,1.3721973985277474,0.04357792699717944,0,4,False,False,False,False
NTAP,2026-06-03,0.09759118272889977,0.06686036725425404,1.3359427631007932,0.22394668911993,1,4,False,False,False,True
AYA,2026-05-29,0.3657143002464658,0.33803554911259925,2.2203804429137817,0.07028568812779024,3,4,False,True,True,True
INOD,2026-05-29,-0.41846068503646705,-0.4461394361703336,3.770710085571831,0.8599912472589177,1,4,False,False,False,True
BWA,2026-05-29,-0.11391185922997737,-0.1415906103638439,1.127648339349943,0.053970439249186875,0,4,False,False,False,False
CLSK,2026-05-29,-0.19300166812177166,-0.2206804192556382,3.755031386117481,0.1020228548010289,3,4,False,True,True,True
SHLS,2026-05-29,-0.3706827182184965,-0.39836146935236305,2.315174826157422,0.12755101792567092,2,4,False,False,True,True
RCUS,2026-06-01,0.010907701044539087,-0.013980214940851665,2.018623791827375,0.056775834516434864,3,4,True,False,True,True
AMPX,2026-06-01,-0.5581609353251841,-0.5830488513105748,3.3390523268104206,0.2150349980693096,3,4,True,False,True,True
FTNT,2026-06-02,0.17714627844327557,0.1536482688212979,1.0179240109839973,0.2003335729164033,1,4,False,False,False,True
VSXY,2026-06-02,0.01961028906696094,-0.003887720555016738,2.0685584919974143,0.0661581955296695,1,4,False,False,False,True
IREN,2026-06-02,-0.29084083146655637,-0.31433884108853405,3.5398091885846563,0.1348276634857528,4,4,True,True,True,True
EC,2026-06-02,0.053817311325855544,0.030319301703877866,-0.14134604501393896,0.1122519084094038,0,4,False,False,False,False
AVT,2026-06-02,0.03546977448822264,0.01197176486624496,1.36711396867934,0.05005476237921935,0,4,False,False,False,False
AKAM,2026-06-02,-0.26765220622359076,-0.29115021584556844,0.9766385361832357,0.2658325788281397,1,4,False,False,False,True
CRWD,2026-06-02,0.29709345026386913,0.27359544064189145,1.3714358136765783,0.08941877794336817,1,4,False,False,True,False
PANW,2026-06-02,0.2509590784303215,0.22746106880834382,1.046616383185678,0.09279595937161522,0,4,False,False,False,False
ARW,2026-06-03,-0.04469151832232232,-0.07542233379696806,1.4462469822239672,0.0514246017328186,1,4,False,False,True,False
ST,2026-06-03,-0.2166407537317947,-0.24737156920644043,2.053130372291792,0.08560482362827226,1,4,False,False,False,True
PDFS,2026-06-03,-0.15288357632369443,-0.18361439179834016,2.358718457808754,0.08238994218694429,2,4,False,False,True,True
PCT,2026-06-04,-0.5935483760703627,-0.6203990982027986,2.21438308664536,0.21470593872642407,2,4,False,False,True,True
ABCL,2026-06-04,0.9874411420497171,0.9605904199172812,2.72681947878549,0.12839505097212367,2,4,False,False,True,True
TSM,2026-06-04,0.00552778919246788,-0.02132293293996801,1.9853165464642621,0.06361410813453539,0,4,False,False,False,False
RMBS,2026-06-04,-0.42745795341037307,-0.45430867554280896,3.3099487571383364,0.13086522654512067,1,4,False,False,False,True
BAND,2026-06-05,-0.247783882702598,-0.30183910567648353,2.038047397222829,0.12677768631002007,2,4,False,False,True,True
CRS,2026-06-05,-0.16652407373199507,-0.2205792967058806,1.454954762391842,0.04507970550690987,0,4,False,False,False,False
TFII,2026-06-05,-0.2106583752377399,-0.26471359821162543,1.330868003744496,0.06434537353620828,0,4,False,False,False,False
HUM,2026-06-08,0.06599573767001043,0.014321738565421294,0.5067931791574531,0.11265776851431042,0,4,False,False,False,False
YPF,2026-06-08,-0.006723955999170639,-0.05839795510375978,0.389545098285748,0.08749426725091114,1,4,False,False,True,False
KNX,2026-06-09,-0.16848695487888754,-0.22325716555454334,1.2390228195329134,0.1381964361744623,0,4,False,False,False,False
LSTR,2026-06-09,-0.2360672392168447,-0.2908374498925005,0.8772944880075029,0.0481691402604425,0,4,False,False,False,False
JBHT,2026-06-09,-0.1762654026761199,-0.2310356133517757,0.8620390735114395,0.07089995326585896,0,4,False,False,False,False
MOG-A,2026-06-10,-0.032581487083430005,-0.10424714223876785,1.1154783323425346,0.07421450625765647,0,4,False,False,False,False
CNC,2026-06-10,-0.005356573213000426,-0.07702222836833827,0.326564009393445,0.05289675174199715,1,4,False,False,True,False
APGE,2026-06-11,,,,,2,3,True,False,True,
