sym,entry,ret,excess,beta,maxday,n_flags,n_known,DILUTION,ASSET_BLOAT,LOSS,LOTTO
NVT,2026-04-25,0.12295954940015674,0.03404676227331027,1.6816146859761134,0.06886989725461379,0,4,False,False,False,False
ORKA,2026-04-25,0.35274516738690753,0.26383238026006106,1.4857226010102587,0.09799497989683292,2,4,True,False,True,False
OUT,2026-04-25,-0.04010318460932305,-0.12901597173616952,1.022739508150781,0.036740652132281504,0,4,False,False,False,False
PACS,2026-04-25,0.18712957976313338,0.09821679263628691,0.6534506892970223,0.09029276537096664,0,4,False,False,False,False
PRIM,2026-04-25,-0.5514374916679468,-0.6403502787947932,1.8309280818778073,0.06491962472399404,0,4,False,False,False,False
PRM,2026-04-25,0.02528359058839391,-0.06362919653845256,1.1677363555792397,0.1475563575342822,1,4,False,False,True,False
PTEN,2026-04-25,0.025126112532289024,-0.06378667459455745,0.6163221318706985,0.08085984198750018,1,4,False,False,True,False
STX,2026-04-25,0.4975788360326374,0.40866604890579095,2.0192306001322757,0.08092600351004808,1,4,False,False,False,True
TIGO,2026-04-25,0.14065757099682408,0.051744783869977606,0.12453435564252674,0.05150933827694204,0,4,False,False,False,False
WBD,2026-04-25,0.1377908970922339,0.04887810996538744,0.9166532398781255,0.013658136943547339,0,4,False,False,False,False
WTTR,2026-04-25,0.23986632816298226,0.15095354103613579,1.1156539000069083,0.06148863328795806,1,4,False,False,True,False
ZYME,2026-04-25,-0.045907505267438475,-0.13482029239428495,0.9345894151642489,0.03594247546421547,1,4,False,False,True,False
AEIS,2026-04-27,-0.3183126863968706,-0.4053527538647643,2.1883908310781974,0.08186658604910013,1,4,False,False,False,True
BE,2026-04-27,0.1628175522633697,0.07577748479547597,3.5335798830709666,0.23976906690089916,3,4,True,True,False,True
BHE,2026-04-27,0.11605681369621967,0.02901674622832595,1.6306547841852448,0.061020491090346685,0,4,False,False,False,False
CC,2026-04-27,-0.4461408079233248,-0.5331808753912185,1.8696224306997282,0.10004133785009439,1,4,False,False,True,False
CELC,2026-04-27,-0.3316359023231106,-0.4186759697910043,1.4218413988279788,0.06584570538298329,3,4,True,True,True,False
COHU,2026-04-27,0.3124052984238834,0.2253652309559897,2.1308279701671995,0.07295206637610496,2,4,False,False,True,True
CSTM,2026-04-27,-0.18243028010994988,-0.2694703475778436,1.9255761769025608,0.11147273310101125,0,4,False,False,False,False
CVE,2026-04-27,0.19110487437167856,0.10406480690378483,0.20210653299671738,0.03312786938598067,0,4,False,False,False,False
DAN,2026-04-27,-0.21446823745071875,-0.30150830491861247,1.4064752156887392,0.0623688591495386,0,4,False,False,False,False
DAVE,2026-04-27,0.25465142447571254,0.16761135700781882,2.726371868870718,0.09547475610023115,2,4,False,True,False,True
DELL,2026-04-27,1.66824406282598,1.5812039953580863,1.6648279958096857,0.08918094758086315,0,4,False,False,False,False
EFXT,2026-04-27,-0.12057527418223934,-0.20761534165013307,0.9744361083942351,0.05793346136908073,0,4,False,False,False,False
FLEX,2026-04-27,0.23900975068446884,0.1519696832165751,2.0341883187306693,0.08073302648648184,1,4,False,False,False,True
ICHR,2026-04-27,-0.20571591472478534,-0.29275598219267907,3.862855457961879,0.10660023248642281,2,4,False,False,True,True
JBL,2026-04-27,-0.10855567722392345,-0.19559574469181717,1.757885048560309,0.0733392611563819,0,4,False,False,False,False
KEYS,2026-04-27,0.00408050748909794,-0.08295955997879578,1.6941478328395543,0.05894681508992328,0,4,False,False,False,False
KLAC,2026-04-27,-0.02940525818536377,-0.11644532565325749,2.198170063951558,0.07973003386575295,1,4,False,False,False,True
KLIC,2026-04-27,-0.02329600885974714,-0.11033607632764086,1.8359484364384577,0.0771063108342025,1,4,False,False,True,False
LION,2026-04-27,-0.062091523128550485,-0.1491315905964442,0.8090260485377736,0.12466126038703851,1,4,False,False,True,False
MKSI,2026-04-27,-0.07546648899527109,-0.1625065564631648,2.62391773528213,0.09188957155725563,1,4,False,False,False,True
NVTS,2026-04-27,-0.33551910631853554,-0.42255917378642927,4.260130123556259,0.2056529833924965,3,4,True,False,True,True
NXT,2026-04-27,-0.32166748014508917,-0.4087075476129829,1.8817677690905645,0.07533548505083565,0,4,False,False,False,False
ON,2026-04-27,-0.26846184668543516,-0.3555019141533289,1.997669454849478,0.1124685292614902,0,4,False,False,False,False
ONDS,2026-04-27,-0.32602737506931556,-0.4130674425372093,2.8996218366074915,0.10920250122456476,4,4,True,True,True,True
PLAB,2026-04-27,-0.42918289335427806,-0.5162229608221718,2.807060196975866,0.09275284877324674,1,4,False,False,False,True
PLXS,2026-04-27,0.012924465074221736,-0.07411560239367199,1.5905432093065506,0.054168518930676424,0,4,False,False,False,False
SLAB,2026-04-27,0.027302302870639616,-0.059737764597254106,1.3277990620053424,0.011173124725641914,1,4,False,False,True,False
SNX,2026-04-27,0.2411041561848315,0.15406408871693777,1.435225039398183,0.10420233850411087,0,4,False,False,False,False
SPHR,2026-04-27,0.08281115084675239,-0.004228916621141332,1.6374487355717704,0.10151998038033017,1,4,False,False,True,False
TS,2026-04-27,-0.09665683235387323,-0.18369689982176696,0.44844882646809053,0.02320992451118986,0,4,False,False,False,False
UNIT,2026-04-27,-0.198305094471542,-0.2853451619394357,1.7300276701764068,0.15802465094932971,3,4,False,True,True,True
VICR,2026-04-27,-0.1664494765396034,-0.2534895440074971,2.731364335923298,0.1320489285480546,1,4,False,False,False,True
VRT,2026-04-27,-0.22161796882923024,-0.30865803629712396,2.422421210859867,0.07140672170623907,1,4,False,False,False,True
VSH,2026-04-27,0.1803237618583473,0.09328369439045359,2.4617017762299254,0.1047979336609397,2,4,False,False,True,True
WDC,2026-04-27,0.11903469238544484,0.03199462491755112,2.2725798022967574,0.10070621076685238,1,4,False,False,False,True
AAMI,2026-04-28,0.40986025506713397,0.31750480657000546,1.3609372071808694,0.05615779715143976,1,4,False,False,True,False
GSAT,2026-04-28,0.021653569914653614,-0.0707018785824749,2.0642131636258134,0.13424784388608613,1,4,False,False,False,True
INTC,2026-04-28,0.44084244694876107,0.34848699845163256,2.1044117559646507,0.2359988383395475,3,4,True,False,True,True
POWL,2026-04-28,-0.26550498454904825,-0.35786043304617676,2.093887031391456,0.08116021689523656,1,4,False,False,False,True
SNEX,2026-04-28,-0.035632600614182275,-0.1279880491113108,1.1753677213962013,0.06964475026626915,1,4,False,True,False,False
STM,2026-04-28,0.037707567466734426,-0.054647881030394085,2.0027399397512697,0.10811409492246016,2,4,False,False,True,True
