group,cohort,sym,ret,excess
Top Picks,2026-05,AAOI,-0.42282770940354086,-0.47598333930043935
Breakouts,2026-04,AAOI,-0.32990072519002445,-0.4188136058802666
Top Picks,2026-05,ADEA,-0.2379891288939625,-0.32072954627922245
Breakouts,2026-04,ADEA,-0.15452239619110786,-0.24343527688135003
Breakouts,2026-04,ADI,-0.03591568484191854,-0.1248285655321607
Breakouts,2026-04,AEHR,0.010634934877699065,-0.0782779458125431
Breakouts,2026-04,AGX,-0.41740051099063935,-0.5063133916808815
Breakouts,2026-04,ANDE,-0.09547185246851397,-0.18438473315875614
Breakouts,2026-04,ARWR,-0.06927347439987808,-0.15818635509012025
Breakouts,2026-04,BTE,0.026443843763208852,-0.06246903692703332
Breakouts,2026-04,CAPR,-0.7476609157068725,-0.8365737963971147
Breakouts,2026-04,CAT,-0.015377295879669628,-0.1042901765699118
Top Picks,2026-05,DOCN,-0.04326766004773308,-0.11739119749692462
Breakouts,2026-04,DOCN,0.535132917420077,0.4462200367298348
Breakouts,2026-04,ECG,-0.1417756964696415,-0.23068857715988367
Breakouts,2026-04,FTI,-0.04489973011828263,-0.1338126108085248
Breakouts,2026-04,GEV,-0.17619930630746672,-0.2651121869977089
Breakouts,2026-04,HAFN,0.26314044142481907,0.1742275607345769
Breakouts,2026-04,INDV,0.06921454314608644,-0.01969833754415573
Top Picks,2026-09,LITE,-0.02457243079712057,-0.03692392643118836
Breakouts,2026-04,LITE,0.08263006938833994,-0.006282811301902225
Top Picks,2026-06,LRCX,-0.16558275072904338,-0.21933788021936385
Breakouts,2026-04,LRCX,0.12963232448014117,0.040719443789899
Top Picks,2026-05,MRVL,0.41003118716882225,0.3709378868030453
Breakouts,2026-04,MRVL,0.5668158212611991,0.47790294057095695
Breakouts,2026-04,MTZ,-0.4073699968356228,-0.496282877525865
Top Picks,2026-05,NOK,-0.17744365236893778,-0.25621757913434684
Breakouts,2026-04,NOK,0.04588905740782012,-0.04302382328242205
Breakouts,2026-04,NVT,0.12295954940015674,0.034046668709914574
Breakouts,2026-04,ORKA,0.35274516738690753,0.26383228669666536
Breakouts,2026-04,OUT,-0.04010318460932305,-0.12901606529956522
Top Picks,2026-07,PACS,-0.06533330281575522,-0.0974661022937362
Breakouts,2026-04,PACS,0.18712957976313338,0.09821669907289121
Breakouts,2026-04,PRIM,-0.5514374916679468,-0.6403503723581889
Breakouts,2026-04,PRM,0.02528359058839391,-0.06362929010184826
Breakouts,2026-04,PTEN,0.025126112532289024,-0.06378676815795314
Top Picks,2026-05,STX,0.13870843010269884,0.06458489265350731
Breakouts,2026-04,STX,0.4975788360326374,0.40866595534239525
Breakouts,2026-04,TIGO,0.14065757099682408,0.05174469030658191
Breakouts,2026-04,WBD,0.1377908970922339,0.04887801640199174
Breakouts,2026-04,WTTR,0.23986632816298226,0.1509534474727401
Breakouts,2026-04,ZYME,-0.045907505267438475,-0.13482038595768064
Breakouts,2026-04,AEIS,-0.3183126863968706,-0.40535266062292963
Breakouts,2026-04,BE,0.1628175522633697,0.07577757803731067
Top Picks,2026-06,BHE,-0.20467028883787752,-0.2606702621733663
Breakouts,2026-04,BHE,0.11605681369621967,0.02901683947016065
Breakouts,2026-04,CC,-0.4461408079233248,-0.5331807821493838
Breakouts,2026-04,CELC,-0.3316359023231106,-0.4186758765491696
Top Picks,2026-05,COHU,0.10338551960601006,0.06746295150381454
Breakouts,2026-04,COHU,0.3124052984238834,0.2253653241978244
Breakouts,2026-04,CSTM,-0.18243028010994988,-0.2694702543360089
Top Picks,2026-09,CVE,-0.04656921477510889,-0.06567969135249951
Breakouts,2026-04,CVE,0.19110487437167856,0.10406490014561953
Breakouts,2026-04,DAN,-0.21446823745071875,-0.30150821167677777
Top Picks,2026-07,DAVE,-0.08477543019963352,-0.1245479458306511
Breakouts,2026-04,DAVE,0.25465142447571254,0.16761145024965352
Top Picks,2026-05,DELL,0.8175703616145655,0.7873312381445465
Breakouts,2026-04,DELL,1.66824406282598,1.581204088599921
Breakouts,2026-04,EFXT,-0.12057527418223934,-0.20761524840829837
Top Picks,2026-05,FLEX,-0.17160243338790315,-0.23100094729025655
Breakouts,2026-04,FLEX,0.23900975068446884,0.1519697764584098
Top Picks,2026-07,ICHR,-0.4977185194974142,-0.5374910351284318
